"","RANK","Conference","School","Arena.Name","Arena","Capacity","address","lat","long"
"89",90,"American","Temple","1776 N Broad St, Philadelphia, PA 19121","The Liacouras Center ",10206,"1776 N Broad St, Philadelphia, PA 19121",39.9798139,-75.1585825304769
"90",91,"Missouri Valley","Indiana St.","Hulman Center ","Hulman Center ",10200,"Hulman Center ",39.4685257,-87.4051441342561
"91",92,"Big East","Connecticut","Gampel Pavilion ","Gampel Pavilion ",10167,"Gampel Pavilion ",41.8052875,-72.2544020222615
"92",93,"SEC","Florida","Exactech Arena ","Exactech Arena ",10151,"Exactech Arena ",29.6494189,-82.3510890665513
"93",94,"Southland","Lamar","Montagne Center ","Montagne Center ",10080,"Montagne Center ",30.0440591,-94.07072125
"94",95,"Sun Belt","Arkansas St.","First National Bank Arena ","First National Bank Arena ",10038,"First National Bank Arena ",35.84535655,-90.670419011854
"95",96,"Sun Belt","South Alabama","Mitchell Center ","Mitchell Center ",10000,"Mitchell Center ",30.69226205,-88.1796888798321
"96",96,"Big 12","UCF","Addition Financial Arena ","Addition Financial Arena ",10000,"Addition Financial Arena ",28.60733375,-81.1972925861959
"97",98,"Horizon","Green Bay","Resch Center ","Resch Center ",9729,"Resch Center ",44.4994911,-88.0550423257152
"98",99,"PAC 12","Oregon St.","Gill Coliseum ","Gill Coliseum ",9604,"Gill Coliseum ",44.5612668,-123.280579915635
"99",100,"Missouri Valley","Illinois St.","CEFCU Arena ","CEFCU Arena ",9600,"CEFCU Arena ",40.51068395,-88.9987906829692
"100",101,"SEC","Mississippi","762 All American Drive, University, MS 38677","The Pavilion at Ole Miss ",9500,"762 All American Drive, University, MS 38677",34.362962,-89.535854
"101",102,"Atlantic 10","Massachusetts","Mullins Center ","Mullins Center ",9493,"Mullins Center ",42.3895333,-72.5334459869138
"102",103,"Horizon","Northern Kentucky","Truist Arena ","Truist Arena ",9400,"Truist Arena ",39.0320132,-84.4591054470009
"103",104,"ACC","Duke","Cameron Indoor Stadium ","Cameron Indoor Stadium ",9314,"Cameron Indoor Stadium ",35.9974496,-78.9422669036346
