"","RANK","Conference","School","Arena.Name","Arena","Capacity","address","lat","long"
"238",239,"Ohio Valley","Southern Indiana","Screaming Eagles Arena ","Screaming Eagles Arena ",4800,"Screaming Eagles Arena ",37.9620078,-87.6747080599229
"239",240,"Western Athletic","Utah Tech","Burns Arena ","Burns Arena ",4779,"Burns Arena ",37.1015093,-113.56703439944
"240",241,"America East","UMBC","Chesapeake Employers Insurance Arena ","Chesapeake Employers Insurance Arena ",4753,"Chesapeake Employers Insurance Arena ",39.25194725,-76.7070399375672
"241",242,"America East","Albany","Broadview Center ","Broadview Center ",4538,"Broadview Center ",42.6821683,-73.8282597325326
"242",243,"SWAC","Arkansas Pine Bluff","1542-1598 L A Prexy Davis Dr, Pine Bluff, AR 71601","Clemmons Arena ",4500,"1542-1598 L A Prexy Davis Dr, Pine Bluff, AR 71601",34.22159,-92.002
"243",243,"Atlantic Sun","Florida Gulf Coast","Alico Arena ","Alico Arena ",4500,"Alico Arena ",26.47108735,-81.7645662536439
"244",243,"Big Sky","Montana St.","1 Bobcat Cir, Bozeman, MT 59717","Worthington Arena ",4500,"1 Bobcat Cir, Bozeman, MT 59717",45.667809,-111.04763
"245",243,"Mid-Eastern Athletic","Morgan St.","Hill Field House ","Hill Field House ",4500,"Hill Field House ",39.3422775,-76.5850611893365
"246",243,"West Coast","Santa Clara","Leavey Center ","Leavey Center ",4500,"Leavey Center ",38.9099879,-77.074906273594
"247",248,"Atlantic 10","Loyola Chicago","6525 N Sheridan Rd, Chicago, IL 60626","Gentile Arena ",4486,"6525 N Sheridan Rd, Chicago, IL 60626",42.0012884,-87.6598870959491
"248",249,"Ivy","Cornell","Newman Arena ","Newman Arena ",4473,"Newman Arena ",42.445678,-76.476169
"249",250,"Sun Belt","Georgia Southern","Hanner Fieldhouse ","Hanner Fieldhouse ",4358,"Hanner Fieldhouse ",32.42785745,-81.7800370644649
"250",251,"MAC","Bowling Green","Stroh Center ","Stroh Center ",4347,"Stroh Center ",41.37534065,-83.6263122290515
"251",252,"Atlantic 10","George Washington","Charles E. Smith Center ","Charles E. Smith Center ",4338,"Charles E. Smith Center ",38.8978142,-77.0493530962943
"252",253,"Ohio Valley","Tennessee Martin","Elam Center ","Elam Center ",4300,"Elam Center ",36.34358865,-88.867982495084
"253",254,"Big South","High Point","Qubein Center ","Qubein Center ",4200,"Qubein Center ",35.9782697,-79.9968780486954
"254",254,"Big Sky","Idaho","Moscow, ID 83843","ICCU Arena ",4200,"Moscow, ID 83843",46.7323875,-117.000165
"255",254,"Big West","Long Beach St.","1250 N Bellflower Blvd, Long Beach, CA 90840","The Walter Pyramid ",4200,"1250 N Bellflower Blvd, Long Beach, CA 90840",33.7874282,-118.114411574186
"256",254,"Southland","McNeese St.","The Legacy Center ","The Legacy Center ",4200,"The Legacy Center ",30.17567,-93.209964
"257",254,"Atlantic 10","Saint Joseph's","Hagan Arena ","Hagan Arena ",4200,"Hagan Arena ",39.9956149,-75.2348619651317
"258",254,"West Coast","San Francisco","2335 Golden Gate Ave, San Francisco, CA 94118","War Memorial at the Sobrato Center ",4200,"2335 Golden Gate Ave, San Francisco, CA 94118",37.777218,-122.449708
"259",260,"West Coast","Loyola Marymount","1 Loyola Marymount University Dr, Los Angeles, CA 90045","Gersten Pavilion ",4156,"1 Loyola Marymount University Dr, Los Angeles, CA 90045",33.967658,-118.415586
"260",261,"Mid-Eastern Athletic","Coppin St.","Physical Education Complex ","Physical Education Complex ",4100,"Physical Education Complex ",39.31441115,-76.656680865462
"261",261,"Colonial","Monmouth","OceanFirst Bank Center ","OceanFirst Bank Center ",4100,"OceanFirst Bank Center ",40.27936265,-74.0076094368717
"262",263,"American","UTSA","Physical Education Building, San Antonio, TX 78249","UTSA Convocation Center ",4080,"Physical Education Building, San Antonio, TX 78249",29.5781,-98.59008
"263",264,"Patriot","Bucknell","Sojka Pavilion ","Sojka Pavilion ",4000,"Sojka Pavilion ",40.9568967,-76.8869428
"264",264,"Big West","Cal St. Fullerton","Titan Gym ","Titan Gym ",4000,"Titan Gym ",33.883121,-117.886101
"265",264,"CUSA","Liberty","Liberty Arena ","Liberty Arena ",4000,"Liberty Arena ",37.3493449,-79.1801902843722
"266",264,"Atlantic Sun","North Alabama","Flowers Hall ","Flowers Hall ",4000,"Flowers Hall ",34.80839485,-87.6838220804887
"267",264,"Horizon","Robert Morris","UPMC Events Center ","UPMC Events Center ",4000,"UPMC Events Center ",40.52026875,-80.2146738637129
"268",264,"Ohio Valley","SIU Edwardsville","First Community Arena ","First Community Arena ",4000,"First Community Arena ",38.793881,-89.998004
"269",264,"Atlantic Sun","Stetson","Edmunds Center ","Edmunds Center ",4000,"Edmunds Center ",29.0395413,-81.3018214079189
"270",264,"Colonial","Stony Brook","Island Federal Credit Union Arena ","Island Federal Credit Union Arena ",4000,"Island Federal Credit Union Arena ",40.91744135,-73.1259796117153
"271",264,"Big West","UC San Diego","9860 Hopkins Dr, La Jolla, CA 92093","LionTree Arena ",4000,"9860 Hopkins Dr, La Jolla, CA 92093",32.715759,-117.163818
"272",264,"Western Athletic","UT Rio Grande Valley","N 5th Ave, Edinburg, TX 78541","UTRGV Fieldhouse ",4000,"N 5th Ave, Edinburg, TX 78541",26.3112225,-98.1674619
"273",274,"Big West","Cal St. Bakersfield","Icardo Center ","Icardo Center ",3880,"Icardo Center ",35.34758475,-119.102598219714
"274",275,"Atlantic Sun","Kennesaw St.","590 Cobb Ave, Kennesaw, GA 30144","KSU Convocation Center ",3805,"590 Cobb Ave, Kennesaw, GA 30144",34.037252,-84.580101
"275",276,"Southland","Nicholls St.","220 NSU, Colonel Dr, Thibodaux, LA 70301","Stopher Gym ",3800,"220 NSU, Colonel Dr, Thibodaux, LA 70301",29.7903,-90.8029
"276",277,"Western Athletic","Abilene Christian","Moody Coliseum ","Moody Coliseum ",3600,"Moody Coliseum ",32.8403971,-96.7806817290028
"277",277,"Sun Belt","Coastal Carolina","HTC Center ","HTC Center ",3600,"HTC Center ",33.79905435,-79.0156007826907
"278",277,"Patriot","Holy Cross","1  College St, Worcester, MA 01610 ","Hart Center ",3600,"1  College St, Worcester, MA 01610 ",42.23668645,-71.8070248370831
"279",277,"Southland","Northwestern St.","Prather Coliseum ","Prather Coliseum ",3600,"Prather Coliseum ",31.74396305,-93.0951189039326
"280",277,"American","Tulane","Fogelman Arena ","Fogelman Arena ",3600,"Fogelman Arena ",29.93906735,-90.1207045970479
"281",282,"Atlantic 10","Duquesne","1304 Forbes Ave, Pittsburgh, PA 15282","UPMC Cooper Fieldhouse ",3500,"1304 Forbes Ave, Pittsburgh, PA 15282",40.4377195949587,-79.9881379720768
"282",282,"Metro Atlantic","Fairfield","Leo D Mahoney Arena, Loyola Drive, Fairfield, CT 06824","Mahoney Arena ",3500,"Leo D Mahoney Arena, Loyola Drive, Fairfield, CT 06824",39.31176,-76.56718
"283",282,"Big South","Gardner Webb","110 Lutz-Yelton Dr, Boiling Springs, NC 28152","Paul Porter Arena ",3500,"110 Lutz-Yelton Dr, Boiling Springs, NC 28152",35.45482,-81.93344
"284",282,"CUSA","Jacksonville St.","Mathews Coliseum ","Mathews Coliseum ",3500,"Mathews Coliseum ",33.8241454,-85.7734926057001
"285",282,"America East","NJIT","Wellness and Events Center ","Wellness and Events Center ",3500,"Wellness and Events Center ",40.74229745,-74.1804097219979
"286",282,"SWAC","Prairie View A&M","Prairie View, TX 77445","William Nicks Building ",3500,"Prairie View, TX 77445",30.0857916,-95.9907058
"287",282,"Northeast","Saint Francis","DeGol Arena ","DeGol Arena ",3500,"DeGol Arena ",40.50466595,-78.6411025330208
"288",282,"West Coast","Saint Mary's","1928 Saint Mary’s Road, Moraga, CA 94575","University Credit Union Pavilion ",3500,"1928 Saint Mary’s Road, Moraga, CA 94575",37.8467635894733,-122.109404571485
"289",290,"Atlantic 10","La Salle","Tom Gola Arena ","Tom Gola Arena ",3400,"Tom Gola Arena ",40.04000285,-75.1565784991679
"290",290,"SoCon","Wofford","Richardson Indoor Stadium ","Richardson Indoor Stadium ",3400,"Richardson Indoor Stadium ",34.9632234,-81.9329384394951
"291",292,"Big Sky","Northern Arizona","Walkup Skydome ","Walkup Skydome ",3300,"Walkup Skydome ",35.18059825,-111.652898950192
"292",293,"America East","Vermont","Patrick Gymnasium ","Patrick Gymnasium ",3266,"Patrick Gymnasium ",44.47008915,-73.1947872488209
"293",294,"Metro Atlantic","Quinnipiac","305 Sherman Ave, Hamden, CT 06518","M&T Bank Arena ",3254,"305 Sherman Ave, Hamden, CT 06518",41.4138728,-72.9118004
"294",295,"Northeast","Central Connecticut","1615 Stanley St, New Britain, CT 06053","Detrick Gymnasium ",3200,"1615 Stanley St, New Britain, CT 06053",41.6902691,-72.7698945
"295",295,"Atlantic 10","Fordham","Rose Hill Gym ","Rose Hill Gym ",3200,"Rose Hill Gym ",40.859341,-73.882706
"296",295,"Metro Atlantic","Marist","McCann Center ","McCann Center ",3200,"McCann Center ",41.71746945,-73.9353343390675
"297",295,"SoCon","Mercer","Hawkins Arena ","Hawkins Arena ",3200,"Hawkins Arena ",32.8289652,-83.651787
"298",295,"Big South","Radford","Dedmon Center ","Dedmon Center ",3200,"Dedmon Center ",37.13845635,-80.5416847632617
"299",295,"Metro Atlantic","Saint Peter's","Yanitelli Center ","Yanitelli Center ",3200,"Yanitelli Center ",40.7277231,-74.0731491249115
"300",295,"Mid-Eastern Athletic","South Carolina St.","200 Buckley St, Orangeburg, SC 29115","Smith Hammond Middleton Center ",3200,"200 Buckley St, Orangeburg, SC 29115",33.499346,-80.846122
"301",295,"Big South","UNC Asheville","Kimmel Arena ","Kimmel Arena ",3200,"Kimmel Arena ",35.6180932,-82.5689033267281
"302",303,"Metro Atlantic","Mount St. Mary's","16251 James Phelan Way, Emmitsburg, Maryland, United States","Knott Arena ",3121,"16251 James Phelan Way, Emmitsburg, Maryland, United States",39.6797,-77.3462
"303",304,"Mid-Eastern Athletic","North Carolina Central","McLendon-McDougald Gymnasium ","McLendon-McDougald Gymnasium ",3116,"McLendon-McDougald Gymnasium ",35.97598025,-78.8977423951006
"304",305,"West Coast","Pepperdine","Firestone Fieldhouse ","Firestone Fieldhouse ",3104,"Firestone Fieldhouse ",34.03854465,-118.709713392201
"305",306,"Colonial","Campbell","56 Main St, Lillington, NC 27546","Pope Convocation Center ",3095,"56 Main St, Lillington, NC 27546",38.408588,-82.370773
"306",307,"Big Sky","Portland St.","Viking Pavilion ","Viking Pavilion ",3094,"Viking Pavilion ",45.510843,-122.686536
"307",308,"Summit","North Dakota","Betty Engelstad Sioux Center ","Betty Engelstad Sioux Center ",3064,"Betty Engelstad Sioux Center ",47.92759445,-97.0732544979229
"308",309,"Big West","Cal Poly","Mott Gymnasium ","Mott Gymnasium ",3032,"Mott Gymnasium ",35.300241,-120.658861
"309",310,"SWAC","Bethune Cookman","Moore Gym ","Moore Gym ",3000,"Moore Gym ",36.07671575,-79.7701549962806
"310",310,"SWAC","Grambling St.","Assembly Center ","Assembly Center ",3000,"Assembly Center ",30.4144753,-91.1844893789833
"311",310,"Ohio Valley","Lindenwood","Hyland Arena ","Hyland Arena ",3000,"Hyland Arena ",38.78916915,-90.5035928964988
"312",310,"Big South","Longwood","Brock Center ","Brock Center ",3000,"Brock Center ",36.9038464,-76.0973611017246
"313",310,"America East","New Hampshire","145 Main St, Durham, NH 03824","Lundholm Gymnasium ",3000,"145 Main St, Durham, NH 03824",43.1500375169331,-70.9628828013914
"314",310,"Horizon","Oakland","569 Pioneer Dr, Rochester, MI, 48309","Athletics Center O'Rena ",3000,"569 Pioneer Dr, Rochester, MI, 48309",42.67393485,-83.2129430903011
"315",310,"Atlantic Sun","Queens","Curry Arena ","Curry Arena ",3000,"Curry Arena ",35.188448,-80.834978
"316",310,"Western Athletic","Tarleton St.","W Vanderbilt St, Stephenville, TX 76401","Wisdom Gymnasium ",3000,"W Vanderbilt St, Stephenville, TX 76401",32.2218371,-98.2087967
"317",318,"Big Sky","Northern Colorado","Butler-Hancock Athletics Center, 270 Alles Dr D, Greeley, CO 80631","Bank of Colorado Arena ",2977,"Butler-Hancock Athletics Center, 270 Alles Dr D, Greeley, CO 80631",40.403113,-104.701531
"318",319,"Patriot","American","Bender Arena ","Bender Arena ",2930,"Bender Arena ",38.93772115,-77.0899137185053
"319",320,"Ivy","Brown","Pizzitola Sports Center, Providence, RI 02906","Pizzitola Sports Center ",2800,"Pizzitola Sports Center, Providence, RI 02906",41.826771,-71.40255
"320",321,"Big West","UC Riverside","SRC Arena ","SRC Arena ",2750,"SRC Arena ",43.006199,-76.1950610836676
"321",322,"Ivy","Columbia","Levien 3030 Broadway, New York, NY 10027Gymnasium ","Levien Gymnasium ",2700,"Levien 3030 Broadway, New York, NY 10027Gymnasium ",40.807537,-73.96257
"322",322,"Mid-Eastern Athletic","Howard","Burr Arena ","Burr Arena ",2700,"Burr Arena ",41.7807503,-87.9275964423726
"323",322,"SWAC","Mississippi Valley St.","Harrison Complex ","Harrison Complex ",2700,"Harrison Complex ",40.82251895,-74.2906751968412
"324",325,"Patriot","Lafayette","Kirby Sports Center ","Kirby Sports Center ",2644,"Kirby Sports Center ",40.70170025,-75.2097929921393
"325",326,"Metro Atlantic","Iona","Hynes A715 North Ave, New Rochelle, NY 10801thletics Center ","Hynes Athletics Center ",2611,"Hynes A715 North Ave, New Rochelle, NY 10801thletics Center ",40.926232,-73.78727
"326",327,"America East","Bryant","1150 Douglas Turnpike, Smithfield, RI 02917","Chace Athletic Center ",2600,"1150 Douglas Turnpike, Smithfield, RI 02917",41.9184668,-71.5365125
"327",328,"Colonial","Drexel","3301 Market St, Philadelphia, PA 19104","Daskalakis Athletic Center ",2532,"3301 Market St, Philadelphia, PA 19104",39.955694,-75.18963
"328",328,"Ivy","Yale","Lee Amphitheater ","Lee Amphitheater ",2532,"Lee Amphitheater ",41.311533,-72.926084
"329",330,"Summit","Denver","Hamilton Gymnasium ","Hamilton Gymnasium ",2500,"Hamilton Gymnasium ",39.6824183,-104.9623912
"330",330,"American","Florida Atlantic","Arena, 777 Glades Rd, Boca Raton, FL 33431","Baldwin Arena ",2500,"Arena, 777 Glades Rd, Boca Raton, FL 33431",30.51902,-87.84665
"331",330,"Metro Atlantic","Manhattan","Draddy Gymnasium ","Draddy Gymnasium ",2500,"Draddy Gymnasium ",40.8907375,-73.9002729795556
"332",333,"Metro Atlantic","Niagara","Gallagher Center ","Gallagher Center ",2400,"Gallagher Center ",43.137111,-79.038072400824
"333",334,"Big South","Presbyterian","5th Ave, Clinton, SC 29325","Templeton P.E. Center ",2300,"5th Ave, Clinton, SC 29325",34.464945,-81.866182
"334",335,"Big West","Cal St. Northridge","Redwood Hall, Northridge, CA 91330","Premier America Credit Union Arena ",2200,"Redwood Hall, Northridge, CA 91330",34.2420106,-118.526236537414
"335",335,"Northeast","Stonehill","Merkert Gymnasium ","Merkert Gymnasium ",2200,"Merkert Gymnasium ",42.0574641,-71.0788528873637
"336",337,"Ivy","Harvard","45 N Harvard Street, Allston,MA, 02134","Lavietes Pavilion ",2195,"45 N Harvard Street, Allston,MA, 02134",42.3666450816327,-71.1254754285714
"337",338,"Metro Atlantic","Canisius","Koessler Athletic Center ","Koessler Athletic Center ",2176,"Koessler Athletic Center ",42.9209664,-78.857513591338
"338",339,"Ivy","Dartmouth","Dartmouth College, Berry Sports Center, 6 S Park St, Hanover, NH 03755","Leede Arena ",2100,"Dartmouth College, Berry Sports Center, 6 S Park St, Hanover, NH 03755",43.641979,-72.253738
"339",339,"Patriot","Loyola MD","4501 N Charles St, Baltimore, MD 21210","Reitz Arena ",2100,"4501 N Charles St, Baltimore, MD 21210",39.3462906,-76.6202369
"340",339,"Northeast","Sacred Heart","Pitt Center ","Pitt Center ",2100,"Pitt Center ",35.5956967,-77.5863078574856
"341",339,"America East","UMass Lowell","Costello Athletic Center ","Costello Athletic Center ",2100,"Costello Athletic Center ",42.65554255,-71.3241430511317
"342",339,"Northeast","Wagner","Spiro Sports Center ","Spiro Sports Center ",2100,"Spiro Sports Center ",40.615,-74.0958333
"343",344,"Mid-Eastern Athletic","Delaware St.","Memorial Hall ","Memorial Hall ",2000,"Memorial Hall ",42.37600735,-71.1151116297103
"344",344,"Northeast","Fairleigh Dickinson","60 E Main St, Bogota, NJ 07603","Bogota Savings Bank Center ",2000,"60 E Main St, Bogota, NJ 07603",40.877171113236,-74.0262127747467
"345",344,"Southland","Incarnate Word","McDermott Convocation Center ","McDermott Convocation Center ",2000,"McDermott Convocation Center ",29.46808,-98.4693468941506
"346",344,"Northeast","Le Moyne","Ted Grant Court ","Ted Grant Court ",2000,"Ted Grant Court ",43.048591,-76.087615
"347",344,"Northeast","LIU","Steinberg Wellness Center ","Steinberg Wellness Center ",2000,"Steinberg Wellness Center ",40.69064385,-73.9792953404964
"348",344,"Southland","Texas A&M Commerce","The Field House ","The Field House ",2000,"The Field House ",33.242663,-95.908171
"349",350,"Patriot","Boston University","285 Babcock St, Boston, MA 02215 ","Case Gym ",1800,"285 Babcock St, Boston, MA 02215 ",42.3527669489796,-71.1211771836735
"350",350,"Summit","St. Thomas","2115 Summit Ave, St Paul, MN 55105","Schoenecker Arena ",1800,"2115 Summit Ave, St Paul, MN 55105",44.9412471666667,-93.189403
"351",352,"Patriot","Colgate","Cotterell Court ","Cotterell Court ",1782,"Cotterell Court ",37.681122,-121.872828
"352",353,"Metro Atlantic","Rider","Alumni Gymnasium ","Alumni Gymnasium ",1650,"Alumni Gymnasium ",40.27886715,-74.7354012692293
"353",354,"Summit","UMKC","Swinney Recreation Center ","Swinney Recreation Center ",1600,"Swinney Recreation Center ",39.03554535,-94.5787562409118
"354",355,"Atlantic Sun","Jacksonville","Swisher Gymnasium, Jacksonville, FL 32211","Historic Swisher Gymnasium ",1500,"Swisher Gymnasium, Jacksonville, FL 32211",30.35025135,-81.6050056220238
"355",356,"Northeast","Merrimack","Hammel Court ","Hammel Court ",1200,"Hammel Court ",34.700418,-82.288569
"356",357,"Big Sky","Sacramento St.","The Nest ","The Nest ",1012,"The Nest ",38.561321,-121.42416
"357",358,"Southland","Houston Christian","7502 Fondren Rd, Houston, TX 77074","Sharp Gym ",1000,"7502 Fondren Rd, Houston, TX 77074",29.6930202,-95.5147976
"358",358,"America East","Maine","Memorial Gym ","Memorial Gym ",1000,"Memorial Gym ",44.903718,-68.66837
"359",360,"Western Athletic","Seattle","Redhawk Center ","Redhawk Center ",999,"Redhawk Center ",47.607286,-122.313485789935
"360",361,"Big South","Charleston Southern","Buccaneer Field House, North Charleston, SC 29406","Buccaneer Field House ",881,"Buccaneer Field House, North Charleston, SC 29406",32.97799,-80.07312
"361",362,"Big South","USC Upstate","Hodge Center ","Hodge Center ",837,"Hodge Center ",34.997867,-81.969386
